id,zotero_url,zotero_title,legacy_source_id,zotero_date,last_modified
96,https://api.zotero.org/groups/4708800/items/QKH24Q4P,Manifest of the Little Creole (a) Tetis,1,1830-4-19,2023-05-24 15:55:26.794062
97,https://api.zotero.org/groups/4708800/items/K858TVFJ,Manifest of the Emeline,1,1830-4-24,2023-05-24 15:55:26.794062
98,https://api.zotero.org/groups/4708800/items/4WMGKKAF,Manifest of the Nelson,1,1830-5-4,2023-05-24 15:55:26.794062
99,https://api.zotero.org/groups/4708800/items/8Q3NMJUS,Manifest of the Hetta,1,1830-6-1,2023-05-24 15:55:26.794062
100,https://api.zotero.org/groups/4708800/items/397ZSVMI,Manifest of the Washington,1,1830-6-4,2023-05-24 15:55:26.794062
101,https://api.zotero.org/groups/4708800/items/4HZDZEFM,Manifest of the Hetta,1,1830-11-30,2023-05-24 15:55:26.794062
102,https://api.zotero.org/groups/4708800/items/8SWCN7I5,Manifest of the Maria,1,1830-12-24,2023-05-24 15:55:26.794062
103,https://api.zotero.org/groups/4708800/items/6R9HTAIJ,Manifest of the Nelson,1,1831-2-19,2023-05-24 15:55:26.794062
104,https://api.zotero.org/groups/4708800/items/Z7HC648U,Manifest of the Spica,1,1831-3-31,2023-05-24 15:55:26.794062
105,https://api.zotero.org/groups/4708800/items/PGX8M9I8,Manifest of the Hope,1,1831-4-1,2023-05-24 15:55:26.794062
106,https://api.zotero.org/groups/4708800/items/SAT342QD,Manifest of the Nelson,1,1831-4-13,2023-05-24 15:55:26.794062
107,https://api.zotero.org/groups/4708800/items/6XIEVKKX,Manifest of the Nelson,1,1831-5-17,2023-05-24 15:55:26.794062
108,https://api.zotero.org/groups/4708800/items/AMJVKAT9,Manifest of the Nelson,1,1831-5-18,2023-05-24 15:55:26.794062
109,https://api.zotero.org/groups/4708800/items/IFFAZGJ7,Manifest of the Exert,1,1831-6-2,2023-05-24 15:55:26.794062
110,https://api.zotero.org/groups/4708800/items/M6ATJZQ8,Manifest of the Roxanna,1,1835-4-9,2023-05-24 15:55:26.794062
111,https://api.zotero.org/groups/4708800/items/C2JS5Z37,Manifest of the Louisiana,1,1835-11-4,2023-05-24 15:55:26.794062
112,https://api.zotero.org/groups/4708800/items/GHKNSXU8,Manifest of the Columbia,1,1838-2-14,2023-05-24 15:55:26.794062
113,https://api.zotero.org/groups/4708800/items/RQ8T5DPN,Manifest of the Southerner,1,1838-2-19,2023-05-24 15:55:26.794062
114,https://api.zotero.org/groups/4708800/items/FUS3TM39,Manifest of the Columbia,1,1838-3-1,2023-05-24 15:55:26.794062
115,https://api.zotero.org/groups/4708800/items/BNHCZ64C,Manifest of the Correo,1,1838-3-8,2023-05-24 15:55:26.794062
