Shelfmark,UV URL,Page Label,Date,Type,VID
Add Ms 255576,,"f3, v",n.d.,List of instruments to be entered at length,
,,,,,
Add Ms 255576,,"f3, r","27, 2, 23",Shipping of slaves on the Syria,76239
,,,,,
Add Ms 255576,,"f3, r","27, 2, 23",Shipping of slaves on the Francis,75513
,,,,,
Add Ms 255576,,"f3, r","27, 2, 23",Certification of the Asiento and Levantine as being in the company's service,75099; 75752
,,,,,
Add Ms 255576,,"f3, r","28, 2, 23",Receipt for £4.2m remaining with the Bank of England,
,,,,,
Add Ms 255576,,"f3, r","28, 2, 23","Agreement with William Haskins, shipwright, to build a 797 ton ship",
,,,,,
Add Ms 255576,,"f4, v","6, 3, 23",Certification of the Don Lewis K of Spain as being in the company's service,
,,,,,
Add Ms 255576,,"f4, v","10, 3, 23",Arbitration with owners of the Asiento regarding damage to company's hides,
,,,,,
Add Ms 255576,,"f4, v","12, 3, 23",Shipping of goods on the Royal Prince,
,,,,,
Add Ms 255576,,"f4, v","12, 3, 23",Shipping of paper on the Royal George,
,,,,,
Add Ms 255576,,"f4, v","25, 3, 24",Shipping of slaves on the Levantine ,75752
,,,,,
Add Ms 255576,,"f4, v","1, 4, 24",Rent of a house on Threadneedle Street for 7 years,
,,,,,
Add Ms 255576,,"f4, v","1, 4, 24",Shipping of slaves on the Asineto,75099
Add Ms 255576,,"f4, r","1, 4, 24",Shipping of slaves on the Asineto,75099
,,,,,
Add Ms 255576,,"f4, r","1, 4, 24",Certification of the Queen of Spain as being in the company's service,
,,,,,
Add Ms 255576,,"f4, r","22, 4, 24",Bill of chancery vs William Chetwynd,
,,,,,
Add Ms 255576,,"f4, r","24, 6, 24",Appointment of Peter D'Oyle as surgeon at Panama/ Portobelo factory,
,,,,,
Add Ms 255576,,"f4, r","24, 6, 24",Shipping of 210 slaves on the Watkinson,78281
,,,,,
Add Ms 255576,,"f4, r","24, 6, 24",Shipping of 410 slaves on the Sicilian,76171
,,,,,
Add Ms 255576,,"f4, r","3, 7, 24",Shipping of hemp from Riga to London on the Welcome,
,,,,,
Add Ms 255576,,"f5, v","8, 7, 24",Shipping of 228 slaves on the Fasby,75476
,,,,,
Add Ms 255576,,"f5, v","29, 7, 24",Shipping of 230 slaves on the Robert & Samuel,76083
,,,,,
Add Ms 255576,,"f5, v","29, 7, 24",Shipping of goods on the Royal George ,
,,,,,
Add Ms 255576,,"f5, v","10, 9, 24","Agreement with Richard Booth, Edward Yates and Richard Smith, carpenters",
,,,,,
Add Ms 255576,,"f5, v","10, 9, 24","Agreement with William Roberts & Robert Metcalfe, Bricklayers",
,,,,,
Add Ms 255576,,"f5, v","23, 9, 24",Agreement with builders of Greenland ships,
Add Ms 255576,,"f5, r","23, 9, 24",Agreement with builders of Greenland ships,
,,,,,
Add Ms 255576,,"f5, r","7, 10, 24",Bill of chancery vs John Eyre,
,,,,,
Add Ms 255576,,"f5, r","7, 10, 24",Bill of chancery vs Joseph Fisher,
,,,,,
Add Ms 255576,,"f5, r","7, 10, 24",Goods shipped on the Royal George,
,,,,,
Add Ms 255576,,"f5, r","7, 10, 24",Goods shipped on the Cardigan,75235
,,,,,
Add Ms 255576,,"f6, v","14, 10, 24",Shipping of 600 slaves on the Cardigan,75235
,,,,,
Add Ms 255576,,"f6, v","22, 10, 24",Goods shipped on the Pye,76114
,,,,,
Add Ms 255576,,"f6, v","22, 10, 24",Lease of the Great Wet Dock in Deptford,
,,,,,
Add Ms 255576,,"f6, v","28, 10, 24",Shipping of 230 slaves on the Pye,76114
,,,,,
Add Ms 255576,,"f6, v","28, 10, 24",Bill of complaint vs Henry Thompson,
,,,,,
Add Ms 255576,,"f6, v","6, 11, 24",Adjustment to ship King William's account,75736
,,,,,
Add Ms 255576,,"f6, v","20, 11, 24",Shipping of goods on the Devonshire,75321
,,,,,
Add Ms 255576,,"f6, r","20, 11, 24","Bill of complaint vs John Eyles, Thomas Crosse et al",
,,,,,
Add Ms 255576,,"f6, r","20, 11, 24",Empowerment of Jamaican agents to recover money from sales of slaves on Santo Domingo,
Add Ms 255576,,"f7, v","20, 11, 24",Empowerment of Jamaican agents to recover money from sales of slaves on Santo Domingo,
Add Ms 255576,,"f7, r","20, 11, 24",Empowerment of Jamaican agents to recover money from sales of slaves on Santo Domingo,
,,,,,
Add Ms 255576,,"f7, r","20, 11, 24",Empowerment of Jamaican agents to seize slaves illegally imported into the Spanish West Indies,
Add Ms 255576,,"f8, v","20, 11, 24",Empowerment of Jamaican agents to seize slaves illegally imported into the Spanish West Indies,
Add Ms 255576,,"f8, r","20, 11, 24",Empowerment of Jamaican agents to seize slaves illegally imported into the Spanish West Indies,
,,,,,
Add Ms 255576,,"f8, r","20, 11, 24",Revocation of Barbadian agents' powers to issue licenses to introduce slaves to the Coast of Caracas,
Add Ms 255576,,"f9, v","20, 11, 24",Revocation of Barbadian agents' powers to issue licenses to introduce slaves to the Coast of Caracas,
Add Ms 255576,,"f9, r","20, 11, 24",Revocation of Barbadian agents' powers to issue licenses to introduce slaves to the Coast of Caracas,
Add Ms 255576,,"f10, v","20, 11, 24",Revocation of Barbadian agents' powers to issue licenses to introduce slaves to the Coast of Caracas,
,,,,,
Add Ms 255576,,"f10, v","20, 11, 24",Empowerment of Jamaican agents to issue licenses to sell slaves,
Add Ms 255576,,"f10, r","20, 11, 24",Empowerment of Jamaican agents to issue licenses to sell slaves,
,,,,,
Add Ms 255576,,"f11, v","20, 11, 24",Revocation of Jonathan Demiss' powers (one of the factors at Panama/ Portbello),
,,,,,
Add Ms 255576,,"f11, r","25, 11, 24 ","Empowerment of Jamaican agents to visit Spanish American factories and ""settle differences""",
Add Ms 255576,,"f12, v","25, 11, 24 ","Empowerment of Jamaican agents to visit Spanish American factories and ""settle differences""",
,,,,,
Add Ms 255576,,"f12, v","25, 11, 24",Shipping of 300 slaves on the Devonshire,75321
,,,,,
Add Ms 255576,,"f12, v","8, 12, 24",Decree of the Lord Chancellor vs Jno Shuckburgh,
,,,,,
Add Ms 255576,,"f12, v","9, 12, 24",Shipping of goods on the Erith,77016
,,,,,
Add Ms 255576,,"f12, r","24, 12, 24","Shipping of goods on the Rudge to Buenos Aires, and slaves on the Erith",77016
,,,,,
Add Ms 255576,,"f12, r","24, 12, 24",Certification for the Rudge and Erith as being in the company's service,
,,,,,
Add Ms 255576,,"f12, r","24, 12, 24",Bill of chancery vs Dutchess Dowager of Marlborough,
,,,,,
Add Ms 255576,,"f12, r","6, 1, 24",Shipping of paper on the Robert & Samuel,76083
,,,,,
Add Ms 255576,,"f12, r","14, 1, 24",Shipping of goods on the Bonita,77053
,,,,,
Add Ms 255576,,"f12, r","14, 1, 24",Shipping of goods on the Lee,26005
,,,,,
Add Ms 255576,,"f12, r","14, 1, 24",Shipping of 530 slaves on the Lee,26005
,,,,,
Add Ms 255576,,"f12, r","14, 1, 24",Certification for the Molly as being in the company's service,
,,,,,
