Shelfmark,UV URL,Page Label,Date,Type,VID
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f1, r","12,5,11","Empowering Robert Knight, cashier, to receive money from the exchequer",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f2, v","12,5,11",,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f2, r","4,16,12","Empowering Robert Knight, cashier, to receive money from the treasurer of the Navy",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f3, v","4,16,12",,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f3, r","11,26,12",Company seal placed on a bill,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f3, r","11,5,13",Freight of 280 slaves to Spanish Americas on the Saint Mark,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f4, v","11,5,13",,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f4, r","11,12,15",Freight of 450 slaves to Spanish Americas on the Windsor,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f4, r","11,12,13",Freight of 280 slaves to Spanish Americas on the Saint Mark,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f5, v","11,12,13",,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f5, r","11,12,13",,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f5, r",n.d.,Freight of 450 slaves to Spanish Americas on the Windsor,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f5, r","11,19,15",Freight of 500 slaves on the Canada,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f6, v","2,19,13",Freight of 360 slaves on the Good Hope,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f6, r","3,3,13",Freight of 280 slaves on the Smith,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f7, v","3,10,13",Freight of 500 slaves on the Elizabeth,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f7, r","3,17,13",Company seal placed on a bil of chancery brought against the SSC,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f7, r","3,24,13",Company seal placed on a bil of chancery brought against the SSC,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f8, v","4,13,14","Company seal placed on indenture with Dudley Woodbridge, agent at Barbados",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f8, v","5,20,14",Company seal placed on a bil of chancery brought against the SSC,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f8, r","8,26,14","Company seal placed on bond entered into with the Royal African Company 
and Spanish language certificates for transporting slaves",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f8, v","8,26,14",Company seal placed on Spanish language certificates for transporting slaves,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f9, r","8,26,14",Company seal placed on translated certificates for transporting slaves,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f10, v","8,26,14",Company seal placed on translated certificates for transporting slaves,
,,,,,
