1	Voyage completed as intended	1
2	Shipwrecked or destroyed, before slaves embarked	2
3	Shipwrecked or destroyed, after embarkation of slaves or during slaving	3
4	Shipwrecked or destroyed, after disembarkation	4
5	Shipwrecked or destroyed - unspecified	5
6	Captured by pirates or privateers - before slaves embarked	6
7	Captured by pirates or privateers - after embarkation of slaves	7
8	Captured by pirates or privateers - after disembarkation	8
9	Captured by pirates or privateers - unspecified	9
10	Captured by British - before slaves embarked	10
12	Captured by British - after disembarkation	12
13	Captured by British - unspecified	13
14	Captured by Spanish - before slaves embarked	14
15	Captured by Spanish - after embarkation of slaves	15
16	Captured by Spanish - after disembarkation	16
17	Captured by Spanish - unspecified	17
18	Captured by Dutch - before slaves embarked	18
19	Captured by Dutch - after embarkation of slaves	19
20	Captured by Dutch - after disembarkation	20
21	Captured by Dutch - unspecified	21
22	Captured by Portuguese - before slaves embarked	22
23	Captured by Portuguese - after embarkation of slaves	23
24	Captured by Portuguese - Americas after disembarkation	24
25	Captured by Portuguese - unspecified	25
26	Captured - unspecified	26
27	Condemned - before slaves embarked	27
28	Condemned - after embarkation of slaves	28
29	Condemned - Americas after disembarkation	29
30	Condemned - unspecified	30
31	Captured by the Barbary Powers before embarking slaves	31
32	Destroyed - unspecified	39
33	Sold	40
34	Left coast with trading cargo intact	41
35	Taken by Africans	42
36	Captured by Cie du Senegal	43
37	Abandoned and/or sold off Africa	44
38	Captured unspecified before slaves embarked	45
39	Captured unspecified after embarkation of slaves	46
40	Captured unspecified after slaves disembarked	47
41	Captured by pirates - slaves sold in Americas from another ship	48
42	Sold slaves in Americas - subsequent fate unknown	49
43	Captured by the French - before slaves embarked	50
44	Captured by the French - after embarkation of slaves	51
45	Captured by the French - after slaves disembarked	52
46	Captured by the French - unspecified	53
47	Condemned in the Americas by British after slaves disembarked	54
48	Pressed into government service	55
49	Captured by slaves: ship did not reach the Americas	56
50	Captured by crew: fate unknown	57
51	Condemned in the Americas by British before slaves disembarked	58
52	Bought at least one slave in Africa - subsequent fate unknown	59
53	Destroyed, lost or sold as result of slave rebellion	66
54	Taken, retaken and salvaged before reaching African trade site	67
55	Sold in the Americas after disembarking slaves	68
56	Cut off by Africans from shore, ship did not reach the Americas	69
57	Sold in the Americas - not known whether ship brought slaves	70
58	Captured before disembarking slaves; vessel recaptured or released subsequently	71
59	Driven off the African Coast with slaves on board	72
60	Captured by slaves, unknown outcome	73
61	Captured by crew, did not land slaves in the Americas	74
62	Lost before reaching Americas: slaves reached port in other ships	75
11	Some slaves removed by pirates/privateers	76
63	Some slaves removed by pirates/privateers	76
64	Arrived in Africa, subsequent fate unknown	77
65	Captured and recaptured after disembarking slaves	78
66	Crew mutiny; slaves landed in the Americas	79
67	Cut off by Africans from shore. Recaptured and landed slaves in America	80
68	Captured by slaves, recaptured and landed slaves in the Americas	81
69	Captured by slaves, recaptured and landed slaves in the Americas, lost	82
70	to be completed after Curto consulted on Arquivos Angola, II, vol 25, pp.189-91.	83
71	ditto Arquivos Angola, II, vol 25, pp. 432-33.	84
72	Completed voyage after slaves removed for salvage	85
73	Ship returned direct to home port after selling slaves to another vesse	86
74	Taken by slaves, vessel recaptured, unknown outcome	87
75	Sold prematurely in Europe after disembarking slaves in the Americas	88
76	Captured by the crew, slaves sold in Africa	89
77	Captured by the crew, no slaves taken, crew sold gold in Europe	90
78	Condemned in Africa with slaves, slaves transshipped/sold	91
79	Returned direct to Africa after bringing slaves to the Americas	92
80	Returned to Europe or Americas without obtaining slaves	93
81	Laid up (disarmed) or broken up in Africa	94
82	Laid up (disarmed) or broken up in the Americas	95
83	Either shipwrecked or captured by pirates before slaves taken on board	96
84	Abandoned or condemned for unseaworthiness in the Americas	97
85	Ship and slaves sold in Africa	98
86	Taken by slaves, recaptured, then ship lost	99
191	Captured by British, slaves disembarked in Grenada	101
87	Vice-Admiralty Court, St.Helena,  condemned	102
88	Vice-Admiralty Court, St. Helena, restored	103
89	Vice-Admiralty Court, British Guiana, condemned	104
90	Vice-Admiralty Court, British Guiana, restored	105
91	Vice-Admiralty Court, Cape of Good Hope, condemned	106
92	Vice-Admiralty Court, Cape of Good Hope, restored	107
93	Vice-Admiralty Court, Jamaica, condemned	108
94	Vice-Admiralty Court, Jamaica, restored	109
95	Vice-Admiralty Court, Sierra Leone, condemned    ,	110
96	Vice-Admiralty Court, Sierra Leone, restored	111
97	Vice-Admiralty Court, Barbados, condemned	112
98	Vice-Admiralty Court, Barbados, restored	113
99	Vice-Admiralty Court, Mauritius, condemned	114
100	Vice-Admiralty Court, Mauritius, restored	115
101	High Court of Admiralty, condemned	118
102	High Court of Admiralty, restored	119
103	Court of Mixed Commission, Sierra Leone, condemned	120
104	Court of Mixed Commission, Sierra Leone, restored	121
105	Court of Mixed Commission, Havana, condemned	122
106	Court of Mixed Commission, Havana, restored	123
107	Court of Mixed Commission, Rio de Janeiro, condemned	124
108	Court of Mixed Commission, Rio de Janeiro, restored	125
109	Court of Mixed Commission, Luanda, condemned	126
110	Court of Mixed Commission, Luanda, restored	127
111	Court of Mixed Commission, Cape of Good Hope, condemned	128
112	Court of Mixed Commission, Cape of Good Hope, restored	129
113	Lagos, Vice-Admiralty Court, condemned	130
114	Vice-Admiralty Court, Antigua, condemned	132
115	Vice-Admiralty Court, Tortola, condemned	134
116	Vice-Admiralty Court, Tortola, restored	135
178	Vice-Admiralty Court, Halifax, Condemned	136
117	Vice-Admiralty Court, unspecified, condemned	138
