Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
mssST57v19,f.1r,"2,25,1721",Journal,Col.Walker,mssST_57_v19_007.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/910/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.1v,"2,25,1721",Journal,Col.Walker,mssST_57_v19_008.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/911/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.1v,"2,25,1721",Journal,Mr.Donovan,mssST_57_v19_008.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/911/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.2r,"2,25,1721",Journal,Mr.Donovan,mssST_57_v19_009.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/912/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.2r,"2,25,1721",Journal,Mr. Oakley,mssST_57_v19_009.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/912/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.2v,"2,25,1721",Journal,Mr. Oakley,mssST_57_v19_010.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/913/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.2v,"2,25,1721",Journal,Mr. Woodhouse,mssST_57_v19_010.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/913/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.3r,"2,25,1721",Journal,Mr. Woodhouse,mssST_57_v19_011.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/914/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.3v,"2,25,1721",Journal,Mr. Woodhouse,mssST_57_v19_012.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/915/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.3v,"2,25,1721",Journal,Mr. Hanbury,mssST_57_v19_012.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/915/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.3v,"2,25,1721",Journal,Name unreadable,mssST_57_v19_012.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/915/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.4r,"2,25,1721",Journal,Name unreadable,mssST_57_v19_013.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/916/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.4r,"2,17,1721",Journal,Dr. Ramsay,mssST_57_v19_013.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/916/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.5v,"3,1,1721",Journal, Math. Decker,mssST_57_v19_014.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/917/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.5v,"3,1,1721",Journal,Mr Clarke,mssST_57_v19_014.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/917/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.5v,"3,1,1721",Journal,Mr. Gaynne,mssST_57_v19_014.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/917/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.6r,"3,1,1721",Journal,Mr. Gaynne,mssST_57_v19_015.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/918/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.6r,"3,1,1721",Journal,Capt Harris,mssST_57_v19_015.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/918/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.6v,"3,1,1721",Journal,Capt Harris,mssST_57_v19_016.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/919/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.6v,"3,1,1721",Journal,Mr Phipps,mssST_57_v19_016.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/919/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.7r,"3,1,1721",Journal,Rev Hunt,mssST_57_v19_017.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/920/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.7r,"3,1,1721",Journal,L. Somerset,mssST_57_v19_017.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/920/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.7v,"3,1,1721",Journal,Mr Pescal,mssST_57_v19_018.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/921/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.7v,"3,6,1721",Journal,Honorable Young,mssST_57_v19_018.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/921/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.8r,"3,8,1721",Journal,Mr Marge,mssST_57_v19_019.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/922/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.8r,"3,9,1721",Journal,Mr Prowse,mssST_57_v19_019.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/922/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.8v,"3,9,1721",Journal,Mr Prowse,mssST_57_v19_020.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/923/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.8v,"3,11,1721",Journal,P.Nerport,mssST_57_v19_020.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/923/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.8v,"3,11,1721",Journal,Mr Lay,mssST_57_v19_020.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/923/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.9r,"3,11,1721",Journal,Mr Lay,mssST_57_v19_021.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/924/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.9r,"3,11,1721",Journal,Rev Philips,mssST_57_v19_021.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/924/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.9r,"3,15,1721",Journal,Mr Woodhouse,mssST_57_v19_021.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/924/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST57v19,f.9v,"3,15,1721",Journal,Mr Woodhouse,mssST_57_v19_022.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/925/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST57v19,f.9v,"3,15,1721",Journal,Capt Oakley,mssST_57_v19_022.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/925/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
